Food Item,Digestion/Food Buff,Held Item,Description,Capability,Description,Weather,Effect
Candy Bar,Restores 5 Hit Points,Big Root,HP-stealing moves restore double HP,Alluring,"Pokémon who are Alluring smell very pleasant. Once per day, they may act as if they were a Bait Item.",Hail,"While it is Hailing, all non-Ice Type Pokémon lose a Tick of Hit Points at the beginning of their turn."
Honey,Restores 5 Hit Points,Bright Powder,Speed Evasion +2,Amorphous,"Pokémon that are Amorphous have an inconsistent shape. They can flatten and reform themselves like putty. They can stretch out their body material and condense themselves as well. They’re able to squeeze through tight spaces, such as under a door.",Rainy,"While Rainy, Water-Type Attacks gain a +5 bonus to Damage Rolls, and Fire-Type Attacks suffer a -5 Damage penalty."
,,,,As One,"This Pokémon is an adept rider, and is capable of transferring some of the power of its mount to itself while also protecting those it rides.

This Pokémon may Mount any willing, Mountable Pokémon (or other Pokémon that the GM deems suitable) as an Extended Action. While Mounted, the other Pokémon is unable to be commanded, targeted separately, or use any Moves or Abilities. It is treated as part of this Pokémon in all respects, including able to fit inside the same Pokéball and Fainting at the same time, and the rider may not be knocked off. While Mounting, this Pokemon may not Mount any further Pokemon until it dismounts.

While Mounting a Pokémon, the user’s Movement Capabilities and Naturewalk are replaced with the Mount’s, the user’s Secondary Type (second listed) is replaced by the Mount’s Primary Type (first listed). The user also gains the Size of the Mount, and counts as the Mount’s Weight Class if the mount’s is higher. In addition, the user gains one Basic Ability of the Mount. Wonder Guard may not be gained in this way. If Mounting Spectrier, this Pokémon may use Astral Barrage. If Mounting Glastrier, this Pokémon may use Glacial Lance.
This Pokémon may stop Mounting as an Extended Action.
",,
Leftovers,Recover 1/16th of max Hit Points at the beginning of each turn for the rest of the encounter,Choice Items,"Choice Items are tied to a specific Stat. While held, the default state of the Stat is +2 Combat Stages. However, the user is Suppressed and cannot be cured until the end of Combat, even if the item is removed.",Aura Reader,"These Trainers and Pokémon can read the Auras of other living beings. Each Aura conveys two pieces of information. First, its hue or color reveals something about the personality of the target. The hue of an Aura may change over time if an individual undergoes significant changes in personality or worldview. Second, Auras also appear brightened or darkened at times. Brightened auras can reflect good moods and intentions, whereas darkened auras can reflect a sour mood or deceptive and negative intentions.",Sandstorm,"While it is Sandstorming, all non-Ground, Rock, or Steel Type Pokémon lose a Tick of Hit Points at the beginning of their turn."
Black Sludge,Recover 1/8th of max Hit Points at the beginning of each turn for the rest of the encounter,Choice Band,"The default state of the holder's Attack Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed.",Aura Pulse,"Pokémon and Trainers with Aura Pulse are blessed by a great power. They can project their thoughts using Aura, straight into the minds of those they wish to communicate with. They can read the surface thoughts of minds in return, but only minds that open up to them willingly.",Sunny,"While Sunny, Fire-Type Attacks gain a +5 bonus to Damage Rolls, and Water-Type Attacks suffer a -5 Damage penalty."
Mental Herb,Cures all Volatile Status Effects,Choice Specs,"The default state of the holder's Special Attack Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed.",Blindsense,"Zubat, Deino, and Deino’s Evolutions are blind, but can generally function through increased senses – Blindsense can take the form of echolocation, increased hearing, enhanced sense of smell, a supernatural awareness of the environment, and more. It is, however, unable to distinguish colors or exact forms (reading words on a book would be impossible, for example). Pokémon and Trainers with Blindsense can function even in complete darkness, as if they had Darkvision, and they can never be Blinded.",,
Power Herb,Eliminates the Set-Up turn of Moves with the Set-Up Keyword,Choice Scarf,"The default state of the holder's Speed Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed.",Bloom,"When a Pokémon with Bloom, Cherrim, is in Sunny weather it transforms; changing its appearance from the closed bud, purple-petal form into the pink open flower form.",,
White Herb,Any negative Combat Stages are set to 0,Choice Item (Def),"The default state of the holder's Defense Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed.",Blender,"Pokémon with Blender are capable of changing their color to match their surroundings. As a Shift Action, they may increase their Evasion by +2 against Melee attacks and by +4 against Ranged attacks until the end of their next turn. This Capability may be performed At-Will.",,
Cheri Berry,Cures paralysis,Choice Item (SDef),"The default state of the holder's Special Defense Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed.",Chilled,Pokémon with the Chilled Capability are always cold.,,
Chesto Berry,Cures sleep,Contest Accessory,The user rolls +2d6 during the Introduction Stage of a Contest.,Darkvision,A Pokémon with the Darkvision Capability never has their vision hampered by a loss of light. They can even see in total darkness and are never Blind or affected by Total Blindness due to low-light conditions.,,
Pecha Berry,Cures poison,Contest Fashion,"These Items have a chosen Contest Stat; Beauty, Cool, Cute, Smart, or Tough. When held, once per Contest, the holder may re-roll any 1's made when using a Move of the chosen Contest Stat.",Dead Silent,"A Pokémon with the Dead Silent capability does not breathe or have a heartbeat, and does not shuffle or make noise as they walk unless they wish to.",,
