Key Items,,,Med Kit,,,Food Items,,,Pokémon Stuff,,,Poké Balls,,,,Equipment,,,
Name,Cost,Description,Name,Cost,Description,Name,Cost,Description,Name,Cost,Description,Name,Cost,Mod,Description,Name,Cost,Slot,Description
Pokédex,12000,"A hand-held computer with an advanced camera and image recognition software given to trainers at the start of their journey.  A trainer can use a Standard Action to identify a Pokémon within 10m using the Pokédex's scanner.  Doing so reveals the average height/weight of the species, height/weight of the target, moves that the Species learns through Level Up, and some brief facts about the species' behavior.

Pokédexes may also function as smartphones, and in most circumstances they should be made available for free to starting characters.",Potion,200,Heals 20 Hit Points,Candy Bar,75,Snack. Grants a Digestion Buff that heals 5 Hit Points.,Big Root,1000,HP stealing moves restore double HP. Cannot be used by Trainers.,Basic Ball,250,+0,Basic Poké Ball; often called just a “Poké Ball”.,Light Armor,8000,Body,Grants 5 Damage Reduction.
Bait,250,"Bait is a tasty, strong-smelling morsel of food designed to attract Pokémon. It may be used in two ways; to lure Pokémon, or to distract Pokémon.

To lure Pokémon, set the bait on a route. Every 15 minutes thereafter, roll 1d20 until you roll 15 or higher. If you roll 3 times without success, the bait loses its potency and fails. If you succeed however, a random Pokémon will appear. Bait is often used for Fishing in this way.
To distract Pokémon, throw it at a Wild Pokémon as a Standard Action. The target must then make a Focus Roll with a DC of 12. If they fail, the Pokémon gives up its next Standard Action to eat the food.",Super Potion,380,Heals 35 Hit Points,Honey,100,Snack. Grants a Digestion Buff that heals 5 Hit Points. May be used as Bait,Bright Powder,2000,+2 to Speed Evasion. Cannot be used by Trainers.,Great Ball,400,-10,A better Poké Ball with no special effects.,Heavy Armor,12000,Body,Heavy Armor grants +10 Damage Reduction. Heavy Armor causes the wearer’s Speed’s Default Combat Stage to be -1.
Collection Jar,100,"A simple sealable glass jar. Useful when collecting Items from Pokémon, such as Honey from Pokémon with the Honey Gather Ability, or MooMoo Milk from Pokémon with the Milk Collection Ability. Available almost everywhere.",Hyper Potion,800,Heals 70 Hit Points,Leftovers,350,"Snack. When their Digestion Buff is traded in, the user recovers 1/16th of their max Hit Points at the beginning of each turn for the rest of the encounter.",Choice Items,3000,"Choice Items are tied to a Specific Stat. While worn, the default state of the Stat is +2 Combat Stages instead of 0. However, the user is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",Ultra Ball,800,-15,The best generic Poké Ball.,Fancy Clothes,5000,Body,"Each set of Fancy Clothes is assigned a Contest Stat – either Beauty, Cool, Cute, Smart, or Tough. Trainers wearing these clothes may roll 2d6 during the Introduction Stage of a Contest to try to generate Contest Stat Dice for the assigned Stat."
First Aid Kit,500,"Required to use the First Aid Expertise Feature. By Draining 1 AP, any Trainer can make a Medicine Education Check on a target as an Extended Action. The target gains Hit Points equal to the result, and is cured of Burn, Poison, and Paralysis.",Antidote,200,Cures Poison,Black Sludge,500,"Poison-Type Pokémon may consume the Black Sludge as a Snack Item; when the Digestion Buff is traded in, they recover 1/8th of their Max Hit Points at the beginning of each turn for the rest of the encounter.",Choice Band,3000,"The default state of the holder's Attack Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",Master Ball,--,-100,"Incredibly Rare. Worth at least $300,000. Sold nowhere.",Stealth Clothes,2000,Body,"Whether it’s a dark cloak and hood, a ninja suit, or spy gear, these clothes help you blend in. This body-slot equipment raises your modifier to Stealth Checks made to remain unseen by +4, to a maximum total modifier of +4."
Fishing Lure,1500,"Instead of Bait, some trainers may opt to use a Fishing Lure when attempting to Fish. Fishing Lures work just like Bait, but can be used multiple times. If the line snaps or the fish gets away, they may take your lure with them, however.",Paralyze Heal,200,Cures Paralysis,Enriched Water,75,Heals 20 Hit Points,Choice Specs,3000,"The default state of the holder's Special Attack Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",Safari Ball,800,+0,Used during Safari hunts.,Dark Vision Goggles,1000,Head,These Goggles simply grant the Darkvision Capability while worn.
Saddle,2000,"Saddles help Trainers ride Pokémon. They are created with a specific Pokémon species in mind, and only Pokémon with that body type can wear the saddle. A common Saddle type fits Ponyta, Rapidash, Blitzle, and Zebstrika, for example. Saddles grant a +3 bonus to all Skill Checks made to mount Pokémon, or to remain on the Saddle when hit by an attack.",Burn Heal,200,Cures Burns,Shuckle's Berry Juice,--,Heals 30 Hit Points,Choice Scarf,3000,"The default state of the holder's Speed Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",Level Ball,800,+0,-20 Modifier if the target is under half the level your active Pokémon is.,Gas Mask,1500,Head,"Gas Masks are invaluable equipment when trying to breathe in toxic environments or heavy smoke. They not only let you breathe through environmental toxins or smoke, but you become immune to the Moves Rage Powder, Poison Gas, Poisonpowder, Sleep Powder, Smog, Smokescreen, Spore, Stun Spore, and Sweet Scent."
Basic Rope,100,"Basic Fiber Rope. Has a tensile strength of 35 kg or 77 lbs. It has 5 Hit Points.

Rope can only be damaged by Fire-Type attacks, attacks made with sharp objects(knives, swords, sharp teeth), and moves like Scratch, Slash, Leaf Blade, Razor Leaf, etc. The Move Cut ignores all Damage Reduction against Rope. Rope can be bought in any length of 25 ft up to 300.",Ice Heal,200,Cures Freezing,Super Soda Pop,125,Heals 30 Hit Points,Choice Item (Def),3000,"The default state of the holder's Defense Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",Lure Ball,800,+0,-20 Modifier if the target was baited into the encounter with food.,Helmet,2250,Head,The user gains 15 Damage Reduction against Critical Hits. The user resists the Moves Headbutt and Zen Headbutt and can’t be flinched by these Moves.
Utility Rope,200,"Braided Utility Rope. Has a tensile strength of 80 kg or 176 lbs. It has 20 Hit Points and 10 Damage Reduction.

Rope can only be damaged by Fire-Type attacks, attacks made with sharp objects(knives, swords, sharp teeth), and moves like Scratch, Slash, Leaf Blade, Razor Leaf, etc. The Move Cut ignores all Damage Reduction against Rope. Rope can be bought in any length of 25 ft up to 300.",Full Heal,450,Cures all Persistent Status Afflictions,Sparkling Lemonade,250,Heals 50 Hit Points,Choice Item (SDef),3000,"The default state of the holder's Special Defense Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",Moon Ball,800,+0,-20 Modifier if the target evolves with an Evolution Stone.,Re-Breather,4000,Head,This small partial face mask allows Trainers and Pokémon to breathe underwater as if they had the Gilled Capability for up to an hour. The Re-Breather is refilled automatically in 5 minutes while in open air.
